Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2018-12-31 23:05:02.101849,žiar nad Hronom Jilemnického,x,x,x,x,14,12,x,x,x
2018-12-31 23:05:02.101849,Chopok EMEP,66,x,2,4,x,x,x,x,x
2018-12-31 23:05:02.101849,Martin Jesenského,x,x,14,20,13,13,833,0.5,x
2018-12-31 23:05:02.101849,Ružomberok Riadok,39,4,15,19,27,26,590,1.5,x
2018-12-31 23:05:02.101849,žilina Obežná,56,x,15,16,11,15,174,x,x
2018-12-31 23:05:02.101849,Košice ďumbierska,73,x,x,x,x,x,x,x,x
2018-12-31 23:05:02.101849,Košice Amurská,x,x,x,x,8,7,x,x,x
2018-12-31 23:05:02.101849,Košice štefánikova,x,21,16,21,19,7,804,0.4,x
2018-12-31 23:05:02.101849,Kojšovská Hoľa,70,x,3,4,x,x,x,x,x
2018-12-31 23:05:02.101849,Veľká Ida Letná,x,x,x,x,9,8,231,x,x
2018-12-31 23:05:02.101849,Strážske Mierová,x,x,x,x,15,12,x,x,x
2018-12-31 23:05:02.101849,Krompachy SNP,x,10,30,40,35,25,913,2.9,x
2018-12-31 23:05:02.101849,Humenné Nám. slobody,49,x,15,16,15,14,x,x,x
2018-12-31 23:05:02.101849,Stará Lesná Aú SAV EMEP,58,x,5,6,*,*,x,x,x
2018-12-31 23:05:02.101849,Gánovce Meteo. st,44,x,12,15,x,x,x,x,x
2018-12-31 23:05:02.101849,Prešov Arm.gen. ľ. Svobod,x,x,18,28,11,8,421,0.8,x
2018-12-31 23:05:02.101849,Starina Vodná nádrž EMEP,*,x,2,4,x,x,x,x,1.3
2018-12-31 23:05:02.101849,Kolonické sedlo,x,x,x,x,*,*,x,x,x
2018-12-31 23:05:02.101849,Vranov nad Top. M.R.štefánika,x,10,x,x,13,10,x,x,x
