Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 06:06:01.676356,Senec Boldocká,15,7,57,x,207,11,11,x,x
2023-06-26 06:06:01.676356,Ružomberok Riadok,14,9,33,5,158,11,12,0.2,x
2023-06-26 06:06:01.676356,Rovinka mobilná AMS,16,x,x,3,137,19,20,0.5,x
2023-06-26 06:06:01.676356,Rohožník Senická,20,9,x,9,*,*,*,0.1,x
2023-06-26 06:06:01.676356,Púchov 1. mája,8,6,x,1,204,*,*,x,x
2023-06-26 06:06:01.676356,Prievidza Malonecpalská,18,7,33,*,x,5,7,x,x
2023-06-26 06:06:01.676356,Prešov Arm. gen. L. Svobodu,12,11,x,x,84,30,61,0.1,x
2023-06-26 06:06:01.676356,Poprad Železničná,23,15,x,x,x,7,7,x,x
2023-06-26 06:06:01.676356,Plášťovce,9,7,22,x,x,6,8,x,x
2023-06-26 06:06:01.676356,Pezinok Obrancov mieru,5,4,56,x,x,PDL,2,x,x
2023-06-26 06:06:01.676356,Oščadnica,8,4,19,PDL,x,3,4,x,x
2023-06-26 06:06:01.676356,Nitra Štúrova,*,12,x,8,145,19,28,*,x
2023-06-26 06:06:01.676356,Nitra Janíkovce,13,13,55,x,x,*,*,x,x
2023-06-26 06:06:01.676356,Martin Jesenského,18,9,x,x,200,6,8,0.2,x
2023-06-26 06:06:01.676356,Lučenec Gemerská cesta,19,8,24,x,164,7,9,PDL,x
2023-06-26 06:06:01.676356,Liptovský Mikuláš Školská,17,11,x,2,x,7,12,x,x
2023-06-26 06:06:01.676356,Krompachy SNP,17,17,x,PDL,469,*,*,0.4,x
2023-06-26 06:06:01.676356,Košice Štefánikova,16,15,x,4,316,7,9,0.1,x
2023-06-26 06:06:01.676356,Košice Ďumbierska,x,x,73,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Košice Amurská,13,13,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Komárno Vnútorná okružná,14,6,31,x,x,15,17,x,x
2023-06-26 06:06:01.676356,Kolonické sedlo,18,7,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Kojšovská hoľa,x,x,93,x,x,1,2,x,x
2023-06-26 06:06:01.676356,Jelšava Jesenského,25,7,46,x,x,5,5,x,x
2023-06-26 06:06:01.676356,Humenné Nám. slobody,22,11,25,x,x,3,4,x,x
2023-06-26 06:06:01.676356,Hnúšťa Hlavná,24,10,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Handlová Morovianska cesta,11,PDL,x,5,x,x,x,x,x
2023-06-26 06:06:01.676356,Gánovce Meteo. st,x,x,18,x,x,11,14,x,x
2023-06-26 06:06:01.676356,Chopok EMEP,x,x,*,x,x,3,3,x,x
2023-06-26 06:06:01.676356,Bystričany Rozvodňa SSE,17,10,x,*,x,x,x,x,x
2023-06-26 06:06:01.676356,Bratislava Trnavské Mýto,11,7,x,x,179,15,21,1.4,x
2023-06-26 06:06:01.676356,Bratislava Púchovská,9,5,x,5,163,13,15,0.7,x
2023-06-26 06:06:01.676356,Bratislava Padlých hrdinov mobilná AMS,15,7,x,x,162,25,30,x,x
2023-06-26 06:06:01.676356,Bratislava Mamateyova,12,8,46,6,x,15,16,x,x
2023-06-26 06:06:01.676356,Bratislava Kamenné nám.,6,PDL,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Bratislava Jeséniova,10,8,79,1,x,3,3,x,x
2023-06-26 06:06:01.676356,Bardejov Pod Vinbargom,20,12,35,x,x,*,*,x,x
2023-06-26 06:06:01.676356,Banská Bystrica Štefánikovo nábrežie,24,10,x,6,513,17,32,0.5,x
